study,effect,se
Clark 2023,1.210000038146973,1.350000023841858
Clark 2023,1.429999947547913,1.700000047683716
Harmon & Walker 1995,15.25,1.5
Oreopoulos 2006a,15.69999980926514,4.400000095367432
Oreopoulos 2006a,8,5.650000095367432
Devereux and Hart 2010,3.5,1.700000047683716
Devereux and Hart 2010,-.300000011920929,1.799999952316284
Delaney & Devereux 2019,6,1.179999947547913
Dolton and Sandi 2017,5.699999809265137,3.140000104904175
Angrist & Krueger 1991,8.100000381469727,1.894999980926514
Pischke & Wachter 2008,1.600000023841858,1.5
Meghir & Palme 2005,.8799999952316284,1.370000004768372
Meghir & Palme 2005,2.109999895095825,1.240000009536743
Grenet 2013 (France),1,3
Grenet 2013 (France),-.4000000059604645,1.299999952316284
Grenet 2013 (UK),6.900000095367432,2.900000095367432
Grenet 2013 (UK),6.400000095367432,1.100000023841858
Buscha & Dickson 2012,22.60000038146973,21.10000038146973
Buscha & Dickson 2012,16.89999961853027,9
Buscha & Dickson 2015,-1,.5600000023841858
Dickson 2013 ,10.19999980926514,5.099999904632568
Oosterbeek & Webbink 2007,-1.799999952316284,1.899999976158142
Parinduri 2014,14,8
Parinduri 2014,26,10
Fang et al. WP 2012,51,23
Fang et al. WP 2012,10,5
Pischke 2007,.699999988079071,1.399999976158142
Leigh & Ryan 2007,11.80000019073486,3.5
Fischer et al. 2020,1.799999952316284,.5
Fischer et al. 2020,3.5,1.700000047683716
Brunello et al. 2009,4.889999866485596,.5
Brunello et al. 2009,6.840000152587891,.5
Korwatamasakul 2023,7.900000095367432,.9300000071525574
Korwatamasakul 2023,8.310000419616699,.7200000286102295
Kamhöfer & Schmitz 2016,.0099999997764826,3.359999895095825
Liwinski 2020a,12,6.199999809265137
Liwinski 2020a,7.400000095367432,10.69999980926514
Alzúa et al. 2015,16.77000045776367,4.829999923706055
Alzúa et al. 2015,22.77000045776367,5.730000019073486
Eble & Hu 2019,.2000000029802322,1.100000023841858
Eble & Hu 2019,4,1.100000023841858
Oreopoulos 2006b,12.30000019073486,4.630000114440918
Domnisoru 2021,3.299999952316284,1.299999952316284
Domnisoru 2021,1.399999976158142,1.100000023841858
Bhuller et al. 2017,11.19999980926514,4.800000190734863
Chib & Jacobi 2016,1.149999976158142,7.400000095367432
Acemoglu & Angrist 2000,9.810000419616699,4.78000020980835
Clay et al. 2012,12.60000038146973,8.600000381469727
Powdthavee et al. 2013,15.5,3.299999952316284
Powdthavee et al. 2013,10.89999961853027,4.300000190734863
Aakvik et al. 2010,9.399999618530273,.2000000029802322
Torun 2018,1.700000047683716,1
Torun 2018,9.800000190734863,1.100000023841858
Li 2023,15.10000038146973,2.799999952316284
Clay et al. 2021,7.699999809265137,1.5
Oreopoulos & Salvanes 2011,13.10000038146973,.6000000238418579
Zhang 2020,4.920000076293945,.2000000029802322
Albarrán et al. 2020,17.60000038146973,9
Albarrán et al. 2020,22.39999961853027,8.5
Liwinski 2020b,.5,2.900000095367432
Liwinski 2020b,-6.199999809265137,13.30000019073486
Chen et al. 2020,12.69999980926514,7.699999809265137
Liu 2024,7.400000095367432,.5
Elsayed & Marie 2021,13.5,7.199999809265137
Elsayed & Marie 2021,28.29999923706055,13.19999980926514
Leon-Bravo 2022,7.329999923706055,7.099999904632568
Aydemir & Kirdar 2017,2,.800000011920929
Aydemir & Kirdar 2017,5.699999809265137,2.599999904632568
Gerritsen 2014,-.5,3.599999904632568
Purnastuti et al. 2015,22.10000038146973,17.70000076293945
Purnastuti et al. 2015,-6.400000095367432,6.5
