method,estimate,se,pvalue
Naive (unweighted) mean,8.537746504080337,,
Fixed-effect weighted mean,6.185810009491969,,
WAAP,6.140827298654544,.10592502,0
Egger intercept (bias),-.3789623707533707,.7102294,.59534866
Egger slope (true effect),6.388934630416351,1.3526078,.000011803234
PET intercept,6.388934630416351,1.3526078,.000011803234
PEESE intercept,6.14013498894901,1.0796539,2.8646517e-07
PET intercept (Clark/Nielsen SE<10.1),6.472301817003746,1.3844141,.000015965123
PEESE intercept (Clark/Nielsen SE<10.1),6.132330590360461,1.1024737,5.8010323e-07
RE weighted mean (REML),6.023941497926641,.662588,0
RE PET intercept (REML),3.283601894114036,.87371844,.00017114532
RE PEESE intercept (REML),5.03672981105501,.66146082,2.6423308e-14
I-squared (%),95.59925744116178,,
tau-squared,20.00640473474289,,
H-squared,22.72343784327153,,
Trim-and-fill (fixed),6.185810009491969,.10491935,
n_waap,33,,
